127.0.0.1 - - [18/May/2022:11:44:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:14 +0900] "GET /community/ HTTP/1.1" 200 5648
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:14 +0900] "GET /community/resources/css/main-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:14 +0900] "GET /community/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:14 +0900] "GET /community/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:21 +0900] "GET /community/member/signUp HTTP/1.1" 200 7441
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:21 +0900] "GET /community/resources/css/signUp-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2022:11:44:21 +0900] "GET /community/resources/js/member/signUp.js HTTP/1.1" 200 7297
0:0:0:0:0:0:0:1 - - [18/May/2022:11:46:00 +0900] "POST /community/member/signUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2022:11:46:00 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2022:11:46:00 +0900] "GET /community/ HTTP/1.1" 200 5905
0:0:0:0:0:0:0:1 - - [18/May/2022:11:50:35 +0900] "GET /community/member/signUp HTTP/1.1" 200 7441
0:0:0:0:0:0:0:1 - - [18/May/2022:11:50:35 +0900] "GET /community/resources/js/member/signUp.js HTTP/1.1" 200 7828
